LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3
TRUE,TRUE,TRUE,FALSE,464.21,703.34,464.21,464.21,815.88,1167.55
FALSE,TRUE,FALSE,FALSE,289.09,701.79,218.91,359.27,499.63,639.99
FALSE,FALSE,FALSE,TRUE,40.76,886.05,-47.84,129.37,306.58,483.79
FALSE,TRUE,FALSE,FALSE,289.83,701.3,219.7,359.96,500.22,640.48
TRUE,FALSE,TRUE,FALSE,226.22,884.67,226.22,226.22,668.56,1110.89
FALSE,TRUE,TRUE,TRUE,283.8,701.71,283.8,283.8,634.66,985.51
TRUE,TRUE,TRUE,FALSE,464.62,701.76,464.62,464.62,815.5,1166.38
TRUE,FALSE,TRUE,FALSE,237.2,881.58,237.2,237.2,677.99,1118.78
FALSE,FALSE,FALSE,FALSE,49.54,885.08,-38.97,138.04,315.06,492.08
FALSE,TRUE,FALSE,TRUE,273.51,710.21,202.49,344.54,486.58,628.62
TRUE,FALSE,FALSE,TRUE,220.06,882.23,131.84,308.29,484.73,661.18
TRUE,TRUE,TRUE,TRUE,460.18,707.19,460.18,460.18,813.78,1167.37
FALSE,TRUE,FALSE,TRUE,277.19,699.77,207.22,347.17,487.12,627.08
TRUE,TRUE,FALSE,FALSE,457.68,702.6,387.42,527.94,668.46,808.98
FALSE,TRUE,FALSE,FALSE,290.82,705.82,220.24,361.4,502.57,643.73
FALSE,TRUE,TRUE,TRUE,286.61,702.28,286.61,286.61,637.75,988.89
TRUE,FALSE,TRUE,FALSE,234.27,882.93,234.27,234.27,675.74,1117.2
FALSE,TRUE,TRUE,FALSE,294.14,701.76,294.14,294.14,645.01,995.89
TRUE,TRUE,FALSE,FALSE,466.93,706.15,396.32,537.55,678.78,820.01
FALSE,FALSE,TRUE,TRUE,44.77,888.8,44.77,44.77,489.17,933.57
TRUE,TRUE,FALSE,FALSE,464.52,703.22,394.19,534.84,675.48,816.13
FALSE,TRUE,TRUE,FALSE,293.68,704.61,293.68,293.68,645.99,998.3
TRUE,TRUE,FALSE,FALSE,468,699.46,398.06,537.95,677.84,817.73
FALSE,TRUE,FALSE,TRUE,280.42,703.05,210.11,350.72,491.33,631.94
FALSE,FALSE,TRUE,FALSE,55.12,885.98,55.12,55.12,498.11,941.11
FALSE,TRUE,FALSE,FALSE,285.55,705.81,214.97,356.13,497.29,638.46
FALSE,TRUE,FALSE,FALSE,284.12,703.89,213.73,354.5,495.28,636.06
TRUE,FALSE,FALSE,FALSE,230.13,881.38,141.99,318.27,494.54,670.82
FALSE,TRUE,TRUE,TRUE,283.54,704.18,283.54,283.54,635.62,987.71
FALSE,FALSE,TRUE,TRUE,35.21,883.28,35.21,35.21,476.85,918.49
FALSE,FALSE,FALSE,TRUE,40.07,882,-48.13,128.27,304.67,481.08
FALSE,FALSE,FALSE,FALSE,52.65,881.24,-35.47,140.77,317.02,493.27
FALSE,TRUE,TRUE,FALSE,294.62,702.72,294.62,294.62,645.98,997.34
TRUE,FALSE,TRUE,FALSE,235.47,884.37,235.47,235.47,677.66,1119.84
TRUE,FALSE,TRUE,FALSE,226.27,887.35,226.27,226.27,669.95,1113.62
TRUE,FALSE,TRUE,FALSE,229.36,885.56,229.36,229.36,672.14,1114.92
TRUE,FALSE,TRUE,FALSE,222.31,881,222.31,222.31,662.81,1103.31
TRUE,FALSE,FALSE,TRUE,216.48,881.13,128.37,304.59,480.82,657.05
FALSE,TRUE,TRUE,FALSE,291.58,698.62,291.58,291.58,640.89,990.2
TRUE,TRUE,TRUE,FALSE,467.05,701.99,467.05,467.05,818.04,1169.04
FALSE,FALSE,TRUE,FALSE,57.53,879.42,57.53,57.53,497.24,936.95
FALSE,FALSE,TRUE,FALSE,54.33,876.42,54.33,54.33,492.53,930.74
TRUE,FALSE,FALSE,FALSE,223.01,881.97,134.81,311.2,487.6,663.99
TRUE,FALSE,FALSE,FALSE,227.06,891.22,137.94,316.19,494.43,672.67
TRUE,FALSE,TRUE,FALSE,222.23,883.82,222.23,222.23,664.15,1106.06
TRUE,TRUE,TRUE,TRUE,460.47,705.95,460.47,460.47,813.44,1166.42
FALSE,TRUE,FALSE,FALSE,292.91,703.9,222.52,363.3,504.08,644.86
TRUE,TRUE,FALSE,FALSE,464.04,702.84,393.76,534.33,674.9,815.46
TRUE,TRUE,FALSE,FALSE,469.25,707.03,398.54,539.95,681.35,822.76
FALSE,TRUE,TRUE,FALSE,293.21,699.76,293.21,293.21,643.09,992.97
FALSE,FALSE,TRUE,FALSE,51.16,879.61,51.16,51.16,490.96,930.77
FALSE,TRUE,TRUE,TRUE,274.22,706.38,274.22,274.22,627.41,980.6
FALSE,TRUE,TRUE,TRUE,279.45,703.94,279.45,279.45,631.42,983.38
TRUE,FALSE,TRUE,FALSE,230.08,883.74,230.08,230.08,671.95,1113.82
TRUE,TRUE,FALSE,TRUE,455.05,706.49,384.4,525.7,667,808.29
TRUE,FALSE,FALSE,FALSE,235.37,886.01,146.76,323.97,501.17,678.37
FALSE,TRUE,FALSE,FALSE,287.26,702.72,216.99,357.53,498.07,638.62
FALSE,TRUE,TRUE,TRUE,279.24,704.52,279.24,279.24,631.5,983.76
TRUE,FALSE,TRUE,TRUE,206.48,887.51,206.48,206.48,650.24,1093.99
FALSE,FALSE,TRUE,TRUE,36.9,885.75,36.9,36.9,479.78,922.65
FALSE,TRUE,FALSE,FALSE,298.49,704.52,228.03,368.94,509.84,650.75
TRUE,TRUE,FALSE,FALSE,465.64,701.45,395.49,535.78,676.07,816.36
FALSE,TRUE,TRUE,TRUE,278.28,703.42,278.28,278.28,629.99,981.7
TRUE,TRUE,FALSE,FALSE,461.11,706.63,390.45,531.78,673.1,814.43
TRUE,FALSE,FALSE,TRUE,215.45,881.28,127.32,303.57,479.83,656.08
TRUE,FALSE,TRUE,FALSE,222.21,886.21,222.21,222.21,665.31,1108.42
FALSE,TRUE,FALSE,TRUE,283.19,701.76,213.02,353.37,493.72,634.07
FALSE,FALSE,TRUE,FALSE,45.97,880.7,45.97,45.97,486.32,926.67
FALSE,TRUE,FALSE,FALSE,283.42,703.66,213.05,353.78,494.52,635.25
FALSE,TRUE,FALSE,TRUE,280.7,703.16,210.38,351.01,491.64,632.28
TRUE,FALSE,TRUE,FALSE,217.68,883.86,217.68,217.68,659.61,1101.55
TRUE,FALSE,FALSE,FALSE,232.97,885.99,144.37,321.56,498.76,675.96
TRUE,FALSE,FALSE,TRUE,219.93,883.73,131.56,308.3,485.05,661.79
TRUE,TRUE,FALSE,TRUE,457.79,707.79,387.01,528.57,670.12,811.68
TRUE,FALSE,FALSE,TRUE,214.57,885.69,126.01,303.14,480.28,657.42
TRUE,FALSE,TRUE,TRUE,219.53,881.18,219.53,219.53,660.12,1100.71
TRUE,FALSE,FALSE,TRUE,223.65,886.76,134.98,312.33,489.68,667.03
TRUE,FALSE,TRUE,FALSE,219.14,883.78,219.14,219.14,661.03,1102.92
TRUE,FALSE,FALSE,FALSE,224.36,882.53,136.1,312.61,489.12,665.62
TRUE,FALSE,FALSE,TRUE,227.37,877.13,139.65,315.08,490.51,665.93
FALSE,FALSE,TRUE,FALSE,47.21,878.6,47.21,47.21,486.5,925.8
FALSE,FALSE,FALSE,TRUE,40.87,884.98,-47.63,129.37,306.36,483.36
TRUE,TRUE,FALSE,TRUE,460.25,704.38,389.81,530.69,671.56,812.44
FALSE,TRUE,TRUE,FALSE,295,702.62,295,295,646.31,997.61
FALSE,FALSE,TRUE,TRUE,49.93,886.85,49.93,49.93,493.36,936.78
FALSE,TRUE,FALSE,FALSE,290.57,702.35,220.33,360.8,501.27,641.74
FALSE,FALSE,FALSE,TRUE,39.32,882.8,-48.96,127.6,304.16,480.72
FALSE,FALSE,FALSE,FALSE,47.08,880.68,-40.99,135.14,311.28,487.42
TRUE,FALSE,TRUE,TRUE,218.28,880.54,218.28,218.28,658.55,1098.82
TRUE,FALSE,FALSE,FALSE,221.83,891.17,132.71,310.94,489.18,667.41
TRUE,FALSE,TRUE,TRUE,220.43,883.19,220.43,220.43,662.02,1103.61
FALSE,TRUE,TRUE,TRUE,280.16,698.92,280.16,280.16,629.62,979.08
TRUE,TRUE,TRUE,FALSE,470.34,702.88,470.34,470.34,821.77,1173.21
FALSE,TRUE,TRUE,TRUE,283.17,701.53,283.17,283.17,633.93,984.7
TRUE,FALSE,TRUE,TRUE,208.64,887.24,208.64,208.64,652.26,1095.88
FALSE,TRUE,TRUE,FALSE,285.18,699.95,285.18,285.18,635.16,985.13
FALSE,FALSE,TRUE,FALSE,54.21,879.41,54.21,54.21,493.91,933.62
TRUE,TRUE,TRUE,TRUE,457.65,703.54,457.65,457.65,809.43,1161.2
TRUE,FALSE,TRUE,TRUE,218.34,886.37,218.34,218.34,661.52,1104.71
FALSE,TRUE,FALSE,TRUE,282,703.79,211.63,352.38,493.14,633.9
TRUE,FALSE,TRUE,TRUE,217.92,883.91,217.92,217.92,659.88,1101.83
FALSE,TRUE,TRUE,TRUE,278.96,703.52,278.96,278.96,630.72,982.48
FALSE,FALSE,TRUE,FALSE,60.32,883.04,60.32,60.32,501.84,943.36
FALSE,TRUE,TRUE,FALSE,294.11,696.6,294.11,294.11,642.41,990.71
TRUE,FALSE,FALSE,TRUE,215.62,889.61,126.66,304.58,482.5,660.43
FALSE,TRUE,TRUE,TRUE,284.16,704.39,284.16,284.16,636.36,988.56
TRUE,FALSE,TRUE,TRUE,224.95,880.36,224.95,224.95,665.13,1105.31
TRUE,TRUE,FALSE,FALSE,470.21,704.44,399.77,540.65,681.54,822.43
TRUE,FALSE,TRUE,TRUE,213.5,883.95,213.5,213.5,655.48,1097.46
FALSE,TRUE,TRUE,TRUE,278.31,704.42,278.31,278.31,630.52,982.73
TRUE,TRUE,TRUE,FALSE,459.33,704.88,459.33,459.33,811.77,1164.21
TRUE,TRUE,FALSE,FALSE,462.1,703.58,391.74,532.46,673.17,813.89
TRUE,TRUE,FALSE,TRUE,451.15,705.94,380.55,521.74,662.93,804.12
FALSE,FALSE,FALSE,FALSE,49.84,884.34,-38.59,138.27,315.14,492.01
FALSE,TRUE,FALSE,TRUE,283.38,700.61,213.32,353.44,493.57,633.69
FALSE,FALSE,TRUE,FALSE,55.5,879.37,55.5,55.5,495.19,934.87
TRUE,FALSE,FALSE,TRUE,225.32,884.74,136.85,313.8,490.75,667.7
TRUE,FALSE,TRUE,TRUE,225.22,888.88,225.22,225.22,669.66,1114.1
TRUE,FALSE,FALSE,TRUE,218.64,883.52,130.29,306.99,483.7,660.4
FALSE,FALSE,TRUE,FALSE,53.98,878.49,53.98,53.98,493.23,932.47
FALSE,TRUE,FALSE,FALSE,289.58,697.56,219.83,359.34,498.85,638.36
FALSE,TRUE,TRUE,TRUE,282.57,702.92,282.57,282.57,634.03,985.5
TRUE,FALSE,FALSE,TRUE,218.66,879.13,130.74,306.57,482.39,658.22
FALSE,FALSE,TRUE,TRUE,43.49,882.8,43.49,43.49,484.89,926.29
FALSE,TRUE,TRUE,TRUE,275.97,708.01,275.97,275.97,629.97,983.97
FALSE,TRUE,TRUE,TRUE,277.51,706.81,277.51,277.51,630.91,984.32
FALSE,TRUE,TRUE,FALSE,292.54,699.04,292.54,292.54,642.06,991.58
TRUE,FALSE,TRUE,FALSE,233.25,881.73,233.25,233.25,674.11,1114.98
TRUE,FALSE,TRUE,FALSE,226.51,882.48,226.51,226.51,667.75,1108.99
TRUE,FALSE,TRUE,FALSE,237.33,878.08,237.33,237.33,676.37,1115.41
FALSE,FALSE,FALSE,TRUE,42.78,877.5,-44.97,130.53,306.03,481.53
TRUE,FALSE,TRUE,FALSE,223.03,881.55,223.03,223.03,663.8,1104.58
FALSE,TRUE,FALSE,FALSE,288.64,698.81,218.76,358.52,498.29,638.05
TRUE,TRUE,TRUE,TRUE,460.53,707.14,460.53,460.53,814.1,1167.67
TRUE,TRUE,FALSE,TRUE,450.57,701.41,380.43,520.71,660.99,801.27
FALSE,TRUE,TRUE,FALSE,293.08,702.31,293.08,293.08,644.24,995.39
TRUE,TRUE,TRUE,TRUE,456.99,709.71,456.99,456.99,811.85,1166.7
FALSE,TRUE,FALSE,TRUE,286.45,704.87,215.96,356.94,497.91,638.89
FALSE,FALSE,TRUE,TRUE,48.19,883.79,48.19,48.19,490.09,931.98
TRUE,TRUE,FALSE,FALSE,472.35,707.18,401.63,543.07,684.5,825.94
FALSE,FALSE,FALSE,FALSE,58.05,880.86,-30.03,146.14,322.31,498.48
TRUE,FALSE,TRUE,FALSE,228.81,883.83,228.81,228.81,670.73,1112.64
FALSE,FALSE,FALSE,FALSE,49.98,883.01,-38.32,138.28,314.89,491.49
TRUE,TRUE,FALSE,TRUE,449.84,712.64,378.58,521.11,663.64,806.16
TRUE,TRUE,TRUE,FALSE,468.23,706.98,468.23,468.23,821.72,1175.21
TRUE,TRUE,FALSE,TRUE,454.48,708.28,383.65,525.31,666.96,808.62
FALSE,TRUE,FALSE,TRUE,288.37,702.15,218.15,358.59,499.02,639.45
FALSE,FALSE,FALSE,TRUE,38.73,881.26,-49.4,126.85,303.1,479.36
FALSE,FALSE,TRUE,FALSE,55.92,879.81,55.92,55.92,495.82,935.72
TRUE,FALSE,FALSE,FALSE,228.73,881.09,140.62,316.83,493.05,669.27
TRUE,FALSE,FALSE,TRUE,218.26,890.21,129.24,307.28,485.32,663.36
TRUE,TRUE,FALSE,FALSE,456.77,700.28,386.74,526.8,666.85,806.91
TRUE,TRUE,FALSE,TRUE,465.57,702.11,395.36,535.78,676.2,816.63
FALSE,TRUE,TRUE,TRUE,280.97,703.16,280.97,280.97,632.55,984.14
FALSE,FALSE,TRUE,FALSE,52.16,886.04,52.16,52.16,495.18,938.2
FALSE,FALSE,FALSE,TRUE,43.85,885.22,-44.67,132.37,309.42,486.46
FALSE,FALSE,TRUE,TRUE,42.39,886.25,42.39,42.39,485.52,928.64
TRUE,FALSE,FALSE,TRUE,220.72,880,132.72,308.72,484.72,660.72
FALSE,TRUE,TRUE,TRUE,280.35,701.83,280.35,280.35,631.26,982.18
TRUE,TRUE,FALSE,FALSE,466.72,703.58,396.36,537.08,677.79,818.51
TRUE,FALSE,FALSE,FALSE,231.02,880.41,142.98,319.06,495.15,671.23
FALSE,FALSE,FALSE,TRUE,41.68,883.49,-46.67,130.03,306.72,483.42
TRUE,TRUE,FALSE,FALSE,466.75,706.46,396.1,537.4,678.69,819.98
FALSE,FALSE,TRUE,FALSE,51.3,880.01,51.3,51.3,491.3,931.31
FALSE,TRUE,FALSE,FALSE,294.41,702.15,224.2,364.62,505.05,645.48
TRUE,TRUE,TRUE,FALSE,471.11,698.69,471.11,471.11,820.46,1169.8
TRUE,TRUE,FALSE,FALSE,467.87,706.24,397.25,538.5,679.74,820.99
TRUE,FALSE,TRUE,TRUE,217.84,886.24,217.84,217.84,660.97,1104.09
TRUE,FALSE,FALSE,TRUE,221.77,879.42,133.83,309.71,485.6,661.48
FALSE,FALSE,FALSE,FALSE,51.62,889.18,-37.3,140.54,318.38,496.21
FALSE,FALSE,TRUE,FALSE,50.74,879.06,50.74,50.74,490.27,929.8
FALSE,TRUE,FALSE,TRUE,279.79,702.22,209.57,350.01,490.45,630.9
TRUE,FALSE,FALSE,TRUE,213.59,882.41,125.35,301.83,478.32,654.8
FALSE,TRUE,FALSE,TRUE,274.81,702.67,204.55,345.08,485.62,626.15
FALSE,TRUE,FALSE,TRUE,281.99,701.78,211.81,352.17,492.53,632.88
FALSE,FALSE,TRUE,TRUE,40.07,884.78,40.07,40.07,482.46,924.85
FALSE,FALSE,FALSE,TRUE,44.12,885.22,-44.4,132.64,309.69,486.73
TRUE,TRUE,FALSE,TRUE,451.24,707.78,380.46,522.02,663.57,805.13
TRUE,TRUE,TRUE,FALSE,465.6,703.91,465.6,465.6,817.56,1169.51
FALSE,TRUE,FALSE,FALSE,290.52,702.33,220.29,360.76,501.22,641.69
FALSE,FALSE,TRUE,FALSE,54.79,880.35,54.79,54.79,494.96,935.13
FALSE,TRUE,TRUE,FALSE,291.74,700.54,291.74,291.74,642.01,992.27
FALSE,TRUE,TRUE,FALSE,296.35,701.52,296.35,296.35,647.11,997.87
FALSE,TRUE,FALSE,TRUE,284.43,704.91,213.94,354.92,495.9,636.88
TRUE,TRUE,TRUE,FALSE,466.93,703.74,466.93,466.93,818.8,1170.67
TRUE,FALSE,TRUE,FALSE,224.2,887.93,224.2,224.2,668.16,1112.12
TRUE,FALSE,TRUE,TRUE,217.12,886.4,217.12,217.12,660.32,1103.52
TRUE,TRUE,TRUE,FALSE,467.82,705.1,467.82,467.82,820.37,1172.92
FALSE,FALSE,TRUE,FALSE,48.82,885.16,48.82,48.82,491.4,933.98
TRUE,TRUE,FALSE,FALSE,467.79,700.7,397.72,537.86,678,818.14
TRUE,FALSE,FALSE,TRUE,221.42,879.95,133.42,309.41,485.4,661.39
TRUE,TRUE,FALSE,FALSE,473.01,699.9,403.02,543,682.98,822.96
TRUE,TRUE,FALSE,TRUE,458.86,700.55,388.81,528.92,669.03,809.14
FALSE,TRUE,FALSE,TRUE,281.77,703.14,211.46,352.09,492.71,633.34
FALSE,TRUE,TRUE,FALSE,299.44,701.37,299.44,299.44,650.13,1000.82
TRUE,TRUE,TRUE,TRUE,457.79,707.02,457.79,457.79,811.3,1164.81
FALSE,FALSE,TRUE,FALSE,46.87,880.2,46.87,46.87,486.97,927.07
FALSE,TRUE,FALSE,FALSE,286.54,701.02,216.44,356.65,496.85,637.05
TRUE,TRUE,TRUE,TRUE,457.8,704.25,457.8,457.8,809.92,1162.05
TRUE,FALSE,FALSE,FALSE,220.28,887.93,131.48,309.07,486.65,664.24
FALSE,FALSE,FALSE,FALSE,54.91,881.32,-33.22,143.05,319.31,495.57
TRUE,TRUE,FALSE,FALSE,468.17,703.53,397.82,538.53,679.23,819.94
FALSE,TRUE,FALSE,TRUE,272.06,706.45,201.42,342.71,484,625.29
FALSE,FALSE,TRUE,FALSE,58.84,882.82,58.84,58.84,500.25,941.66
FALSE,FALSE,TRUE,TRUE,33.77,882.89,33.77,33.77,475.21,916.66
FALSE,TRUE,FALSE,TRUE,281.38,704.62,210.92,351.85,492.77,633.69
FALSE,TRUE,TRUE,FALSE,295.33,700.09,295.33,295.33,645.38,995.43
FALSE,TRUE,FALSE,FALSE,296.49,696.85,226.81,366.18,505.55,644.92
TRUE,FALSE,TRUE,FALSE,220.72,886.26,220.72,220.72,663.84,1106.97
FALSE,FALSE,TRUE,TRUE,39.39,884.08,39.39,39.39,481.43,923.47
FALSE,FALSE,FALSE,FALSE,57.08,882.62,-31.18,145.35,321.87,498.39
TRUE,TRUE,FALSE,FALSE,465.45,701.48,395.3,535.6,675.9,816.2
TRUE,TRUE,TRUE,FALSE,472.31,705.52,472.31,472.31,825.07,1177.83
FALSE,TRUE,TRUE,FALSE,297.96,699.87,297.96,297.96,647.9,997.83
TRUE,FALSE,FALSE,FALSE,221.97,892.51,132.72,311.22,489.72,668.22
TRUE,TRUE,FALSE,TRUE,456.53,704.81,386.05,527.01,667.97,808.94
FALSE,FALSE,FALSE,TRUE,43.84,882.82,-44.44,132.12,308.69,485.25
FALSE,TRUE,FALSE,FALSE,290.62,701.18,220.5,360.74,500.97,641.21
FALSE,FALSE,FALSE,TRUE,42.87,879.83,-45.12,130.85,306.82,482.78
TRUE,FALSE,FALSE,TRUE,213.32,885.82,124.74,301.9,479.07,656.23
TRUE,TRUE,TRUE,FALSE,464.93,704.98,464.93,464.93,817.42,1169.91
FALSE,TRUE,TRUE,FALSE,292.67,704.24,292.67,292.67,644.79,996.92
FALSE,FALSE,FALSE,FALSE,50.08,879.18,-37.84,138,313.83,489.67
TRUE,TRUE,FALSE,TRUE,461.18,704.69,390.71,531.65,672.59,813.52
FALSE,TRUE,FALSE,FALSE,287.83,703.31,217.5,358.16,498.82,639.48
FALSE,TRUE,FALSE,FALSE,290.74,700.24,220.71,360.76,500.81,640.86
TRUE,TRUE,TRUE,TRUE,460.05,703.89,460.05,460.05,812,1163.95
FALSE,TRUE,TRUE,FALSE,286.41,700.68,286.41,286.41,636.74,987.08
FALSE,FALSE,TRUE,TRUE,43.06,880.19,43.06,43.06,483.15,923.25
TRUE,FALSE,FALSE,TRUE,214.38,885.15,125.87,302.9,479.93,656.96
FALSE,TRUE,FALSE,TRUE,289.84,703.24,219.51,360.16,500.81,641.46
TRUE,FALSE,FALSE,FALSE,235.18,877.56,147.42,322.94,498.45,673.96
TRUE,TRUE,FALSE,TRUE,462.52,707.24,391.79,533.24,674.69,816.14
FALSE,TRUE,FALSE,FALSE,294.27,698.19,224.45,364.08,503.72,643.36
TRUE,TRUE,TRUE,TRUE,460.57,708.1,460.57,460.57,814.63,1168.68
FALSE,FALSE,TRUE,FALSE,47.15,889.91,47.15,47.15,492.1,937.06
TRUE,FALSE,FALSE,TRUE,217.53,885.43,128.99,306.08,483.16,660.25
TRUE,TRUE,TRUE,TRUE,457.59,708.5,457.59,457.59,811.84,1166.09
FALSE,FALSE,TRUE,FALSE,52.1,882.58,52.1,52.1,493.39,934.68
TRUE,FALSE,FALSE,TRUE,204.96,885.11,116.45,293.48,470.5,647.52
FALSE,FALSE,TRUE,FALSE,46.68,880.42,46.68,46.68,486.89,927.1
FALSE,TRUE,TRUE,FALSE,294.22,696.36,294.22,294.22,642.4,990.58
FALSE,TRUE,TRUE,TRUE,285.67,705.09,285.67,285.67,638.21,990.76
TRUE,TRUE,FALSE,TRUE,455.92,710.24,384.9,526.95,669,811.04
FALSE,FALSE,FALSE,TRUE,52.26,883.56,-36.09,140.62,317.33,494.04
FALSE,TRUE,TRUE,FALSE,292.31,699.87,292.31,292.31,642.25,992.18
FALSE,TRUE,FALSE,TRUE,275.76,704.09,205.35,346.17,486.99,627.8
FALSE,TRUE,TRUE,TRUE,280.06,700.64,280.06,280.06,630.38,980.7
TRUE,TRUE,FALSE,FALSE,457.16,703.73,386.78,527.53,668.27,809.02
TRUE,FALSE,FALSE,TRUE,210.46,888.77,121.58,299.34,477.09,654.85
FALSE,FALSE,TRUE,TRUE,46.2,883.99,46.2,46.2,488.19,930.19
TRUE,TRUE,FALSE,TRUE,451.92,707.81,381.14,522.7,664.27,805.83
FALSE,TRUE,TRUE,FALSE,289.69,701.04,289.69,289.69,640.21,990.73
TRUE,FALSE,FALSE,FALSE,229.51,879.91,141.52,317.5,493.48,669.46
FALSE,TRUE,FALSE,FALSE,302.14,702.81,231.86,372.43,512.99,653.55
TRUE,TRUE,TRUE,TRUE,454.54,703.87,454.54,454.54,806.47,1158.41
TRUE,TRUE,FALSE,TRUE,453.03,704.27,382.6,523.46,664.31,805.17
TRUE,FALSE,TRUE,TRUE,205.78,887.83,205.78,205.78,649.69,1093.61
FALSE,TRUE,TRUE,TRUE,284,701.47,284,284,634.73,985.47
FALSE,TRUE,FALSE,FALSE,295.49,704.88,225,365.98,506.95,647.93
TRUE,FALSE,FALSE,FALSE,225.32,885.2,136.8,313.84,490.88,667.92
TRUE,FALSE,FALSE,FALSE,231.36,883.62,143,319.72,496.45,673.17
TRUE,TRUE,TRUE,TRUE,451.6,704.73,451.6,451.6,803.96,1156.32
TRUE,TRUE,FALSE,FALSE,471.01,702.36,400.78,541.25,681.72,822.19
FALSE,TRUE,FALSE,FALSE,291.52,706.83,220.84,362.21,503.57,644.94
FALSE,TRUE,FALSE,TRUE,280.53,704.55,210.08,350.98,491.89,632.8
FALSE,TRUE,FALSE,FALSE,295.52,703.29,225.19,365.85,506.5,647.16
TRUE,TRUE,TRUE,FALSE,461.33,705.57,461.33,461.33,814.11,1166.9
FALSE,FALSE,TRUE,TRUE,39.85,880.36,39.85,39.85,480.03,920.21
TRUE,FALSE,FALSE,TRUE,204.1,887.47,115.35,292.85,470.34,647.83
FALSE,FALSE,FALSE,FALSE,58.72,882.55,-29.53,146.98,323.48,499.99
TRUE,FALSE,TRUE,TRUE,217.11,880.09,217.11,217.11,657.16,1097.21
FALSE,FALSE,TRUE,TRUE,47.32,882.36,47.32,47.32,488.5,929.69
TRUE,FALSE,TRUE,TRUE,216.7,884.42,216.7,216.7,658.91,1101.12
FALSE,TRUE,FALSE,TRUE,276.94,699.33,207.01,346.88,486.74,626.61
TRUE,FALSE,TRUE,FALSE,221.76,885.58,221.76,221.76,664.55,1107.34
FALSE,TRUE,TRUE,FALSE,289.38,700.88,289.38,289.38,639.82,990.27
TRUE,FALSE,TRUE,TRUE,217.44,888.14,217.44,217.44,661.51,1105.58
FALSE,FALSE,TRUE,TRUE,48,879.11,48,48,487.56,927.11
TRUE,TRUE,TRUE,FALSE,467.44,704.4,467.44,467.44,819.64,1171.84
TRUE,FALSE,TRUE,TRUE,219.69,890.32,219.69,219.69,664.85,1110.01
TRUE,FALSE,TRUE,FALSE,216.89,888.36,216.89,216.89,661.07,1105.25
FALSE,TRUE,TRUE,TRUE,286.87,704.22,286.87,286.87,638.98,991.09
TRUE,FALSE,TRUE,FALSE,236,881.74,236,236,676.87,1117.74
TRUE,FALSE,FALSE,FALSE,231.54,882.74,143.26,319.81,496.36,672.91
TRUE,FALSE,TRUE,TRUE,219.36,885.65,219.36,219.36,662.18,1105
FALSE,TRUE,FALSE,FALSE,287.33,696.44,217.69,356.98,496.27,635.55
TRUE,FALSE,FALSE,FALSE,225.84,887.29,137.11,314.57,492.03,669.49
TRUE,TRUE,FALSE,TRUE,458.52,708.02,387.72,529.33,670.93,812.53
TRUE,FALSE,FALSE,FALSE,227.99,882.47,139.74,316.24,492.73,669.22
TRUE,TRUE,FALSE,FALSE,465.76,705.36,395.22,536.29,677.36,818.44
FALSE,FALSE,TRUE,FALSE,62.77,879.61,62.77,62.77,502.58,942.38
FALSE,FALSE,FALSE,FALSE,44.2,877.76,-43.58,131.97,307.52,483.08
TRUE,FALSE,TRUE,TRUE,220.44,887.41,220.44,220.44,664.14,1107.85
FALSE,FALSE,FALSE,TRUE,49.13,887.99,-39.67,137.92,315.52,493.12
FALSE,FALSE,FALSE,FALSE,48.23,886.31,-40.4,136.86,314.12,491.39
TRUE,FALSE,TRUE,TRUE,220.93,885.74,220.93,220.93,663.8,1106.67
TRUE,TRUE,TRUE,FALSE,468.8,700.01,468.8,468.8,818.8,1168.81
TRUE,FALSE,TRUE,FALSE,228.29,878.67,228.29,228.29,667.62,1106.96
FALSE,FALSE,FALSE,FALSE,58.9,880.42,-29.14,146.94,323.02,499.11
FALSE,TRUE,TRUE,FALSE,292.74,698.55,292.74,292.74,642.02,991.29
FALSE,FALSE,TRUE,FALSE,54.09,878.81,54.09,54.09,493.5,932.9
TRUE,TRUE,FALSE,FALSE,463.25,702.48,393,533.5,673.99,814.49
FALSE,TRUE,TRUE,TRUE,280.43,702.33,280.43,280.43,631.59,982.76
TRUE,TRUE,TRUE,FALSE,466.69,703.33,466.69,466.69,818.36,1170.03
FALSE,TRUE,FALSE,TRUE,278.19,705.53,207.63,348.74,489.84,630.95
TRUE,FALSE,TRUE,TRUE,217.59,882.81,217.59,217.59,658.99,1100.4
TRUE,TRUE,FALSE,TRUE,455.61,705.06,385.1,526.11,667.13,808.14
FALSE,TRUE,FALSE,TRUE,274.48,704.88,203.99,344.97,485.94,626.92
TRUE,TRUE,TRUE,TRUE,454.19,710.38,454.19,454.19,809.38,1164.57
FALSE,FALSE,TRUE,TRUE,48.06,880.42,48.06,48.06,488.27,928.48
TRUE,TRUE,FALSE,TRUE,458.47,704.75,388,528.95,669.9,810.85
TRUE,FALSE,FALSE,FALSE,231.01,879.76,143.03,318.99,494.94,670.89
FALSE,TRUE,TRUE,TRUE,281.6,708.54,281.6,281.6,635.86,990.13
FALSE,FALSE,TRUE,TRUE,33.1,883.77,33.1,33.1,474.99,916.88
TRUE,FALSE,TRUE,FALSE,223.66,891.17,223.66,223.66,669.25,1114.83
