LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3
TRUE,FALSE,FALSE,TRUE,215.18,886.38,126.55,303.82,481.1,658.37
TRUE,FALSE,TRUE,FALSE,216.45,887.35,216.45,216.45,660.12,1103.8
TRUE,FALSE,FALSE,TRUE,214.02,887.54,125.27,302.78,480.28,657.79
TRUE,FALSE,FALSE,FALSE,234.91,881.39,146.77,323.05,499.32,675.6
TRUE,FALSE,TRUE,TRUE,220.56,884.69,220.56,220.56,662.91,1105.26
TRUE,FALSE,TRUE,TRUE,219.01,890.21,219.01,219.01,664.11,1109.22
FALSE,FALSE,TRUE,TRUE,40.74,886.18,40.74,40.74,483.83,926.92
FALSE,TRUE,FALSE,TRUE,278.68,708.38,207.84,349.51,491.19,632.87
FALSE,TRUE,FALSE,FALSE,295.66,698.5,225.81,365.51,505.21,644.91
FALSE,TRUE,TRUE,TRUE,279.61,702.52,279.61,279.61,630.87,982.13
TRUE,FALSE,FALSE,TRUE,226.3,887.59,137.54,315.06,492.58,670.1
FALSE,FALSE,TRUE,TRUE,44.58,890.49,44.58,44.58,489.82,935.07
TRUE,FALSE,TRUE,TRUE,226.71,885.25,226.71,226.71,669.34,1111.96
TRUE,FALSE,FALSE,TRUE,221.45,883.87,133.07,309.84,486.61,663.39
FALSE,FALSE,FALSE,TRUE,36.39,881.51,-51.76,124.54,300.85,477.15
FALSE,TRUE,TRUE,FALSE,295.07,697.76,295.07,295.07,643.95,992.83
TRUE,FALSE,FALSE,FALSE,220.13,885.45,131.59,308.68,485.77,662.86
FALSE,TRUE,FALSE,FALSE,296.7,704.41,226.26,367.14,508.03,648.91
FALSE,TRUE,TRUE,TRUE,287.32,702.58,287.32,287.32,638.61,989.91
FALSE,FALSE,TRUE,TRUE,35.29,887.95,35.29,35.29,479.27,923.25
FALSE,TRUE,TRUE,FALSE,295.49,696.97,295.49,295.49,643.97,992.46
TRUE,TRUE,TRUE,FALSE,466.93,697.99,466.93,466.93,815.92,1164.92
TRUE,FALSE,TRUE,FALSE,221.8,889.04,221.8,221.8,666.32,1110.84
TRUE,FALSE,TRUE,FALSE,226.09,888.84,226.09,226.09,670.51,1114.93
TRUE,FALSE,TRUE,FALSE,232.91,882.02,232.91,232.91,673.92,1114.93
TRUE,TRUE,TRUE,FALSE,466.02,702.09,466.02,466.02,817.07,1168.11
TRUE,TRUE,TRUE,FALSE,465.12,704.27,465.12,465.12,817.25,1169.38
FALSE,FALSE,FALSE,TRUE,44.53,892.9,-44.76,133.82,312.4,490.98
FALSE,TRUE,TRUE,FALSE,287.64,701.74,287.64,287.64,638.51,989.38
TRUE,TRUE,FALSE,TRUE,458.88,704.19,388.46,529.3,670.13,810.97
FALSE,TRUE,FALSE,TRUE,282.64,705.98,212.04,353.24,494.44,635.63
TRUE,TRUE,TRUE,TRUE,458.58,708.19,458.58,458.58,812.67,1166.77
TRUE,FALSE,FALSE,FALSE,238.77,881.59,150.61,326.93,503.24,679.56
FALSE,TRUE,FALSE,TRUE,277.02,704.46,206.57,347.47,488.36,629.25
FALSE,FALSE,FALSE,FALSE,52.65,880.77,-35.43,140.73,316.88,493.03
TRUE,TRUE,FALSE,FALSE,463.51,705.7,392.94,534.08,675.22,816.36
FALSE,FALSE,FALSE,FALSE,49.53,884.15,-38.89,137.94,314.77,491.6
FALSE,TRUE,TRUE,FALSE,282.61,698.74,282.61,282.61,631.98,981.35
FALSE,TRUE,TRUE,TRUE,288.42,703.54,288.42,288.42,640.19,991.96
FALSE,FALSE,TRUE,FALSE,64.24,875.67,64.24,64.24,502.07,939.91
TRUE,FALSE,FALSE,FALSE,232.4,886.9,143.71,321.09,498.47,675.85
TRUE,TRUE,TRUE,TRUE,463.36,705.18,463.36,463.36,815.95,1168.54
TRUE,TRUE,FALSE,TRUE,460.65,709.25,389.72,531.57,673.42,815.27
TRUE,TRUE,FALSE,TRUE,459.94,704.44,389.49,530.38,671.27,812.16
TRUE,TRUE,FALSE,FALSE,467.37,702.76,397.1,537.65,678.2,818.75
FALSE,TRUE,TRUE,FALSE,295.24,704.09,295.24,295.24,647.29,999.33
TRUE,TRUE,FALSE,FALSE,467.96,701.92,397.77,538.16,678.54,818.93
FALSE,TRUE,FALSE,FALSE,294.59,702.2,224.37,364.81,505.25,645.69
FALSE,FALSE,FALSE,TRUE,36.8,881.82,-51.38,124.99,301.35,477.71
FALSE,TRUE,TRUE,FALSE,290.97,702.67,290.97,290.97,642.3,993.64
TRUE,TRUE,TRUE,FALSE,464.81,706.32,464.81,464.81,817.97,1171.13
FALSE,TRUE,FALSE,FALSE,290.99,701.05,220.89,361.1,501.31,641.52
TRUE,FALSE,TRUE,FALSE,227.79,881.37,227.79,227.79,668.48,1109.16
FALSE,TRUE,FALSE,FALSE,289.35,697.72,219.58,359.12,498.67,638.21
TRUE,FALSE,TRUE,TRUE,225.55,885.79,225.55,225.55,668.44,1111.34
FALSE,FALSE,FALSE,TRUE,44.91,885.76,-43.66,133.49,310.64,487.79
FALSE,TRUE,TRUE,FALSE,289.87,700.77,289.87,289.87,640.25,990.63
TRUE,TRUE,TRUE,TRUE,453.72,708.64,453.72,453.72,808.04,1162.36
TRUE,FALSE,TRUE,FALSE,229.12,886.86,229.12,229.12,672.55,1115.98
TRUE,TRUE,FALSE,TRUE,462.07,708.33,391.23,532.9,674.56,816.23
TRUE,TRUE,FALSE,FALSE,467.94,702.7,397.67,538.21,678.75,819.29
FALSE,TRUE,FALSE,TRUE,277.72,707.84,206.93,348.5,490.07,631.63
FALSE,FALSE,FALSE,TRUE,42.82,885.08,-45.68,131.33,308.35,485.36
TRUE,FALSE,TRUE,FALSE,227.07,881.47,227.07,227.07,667.81,1108.55
TRUE,FALSE,TRUE,FALSE,228.27,890.18,228.27,228.27,673.35,1118.44
TRUE,FALSE,FALSE,TRUE,218.03,881.64,129.87,306.19,482.52,658.85
FALSE,TRUE,TRUE,TRUE,279.49,705.82,279.49,279.49,632.4,985.31
TRUE,FALSE,FALSE,FALSE,223.27,885.52,134.72,311.82,488.93,666.03
FALSE,FALSE,FALSE,TRUE,35.1,883.58,-53.26,123.46,300.18,476.89
FALSE,FALSE,FALSE,FALSE,55.47,884.23,-32.95,143.9,320.74,497.59
TRUE,FALSE,TRUE,TRUE,220.61,885.37,220.61,220.61,663.3,1105.99
FALSE,TRUE,TRUE,FALSE,286.49,703.11,286.49,286.49,638.04,989.6
FALSE,FALSE,FALSE,TRUE,42.75,884.07,-45.66,131.16,307.97,484.78
FALSE,TRUE,FALSE,FALSE,295.45,704.36,225.02,365.89,506.76,647.63
TRUE,TRUE,TRUE,FALSE,467.42,705.45,467.42,467.42,820.14,1172.87
TRUE,FALSE,TRUE,FALSE,226.32,886.26,226.32,226.32,669.45,1112.58
FALSE,FALSE,FALSE,TRUE,41.75,886.7,-46.92,130.42,307.76,485.1
TRUE,TRUE,FALSE,TRUE,454.79,705.35,384.25,525.32,666.39,807.46
TRUE,TRUE,TRUE,FALSE,467.56,706,467.56,467.56,820.56,1173.57
FALSE,FALSE,FALSE,FALSE,49.21,887.09,-39.5,137.91,315.33,492.75
TRUE,FALSE,TRUE,FALSE,227.13,881.81,227.13,227.13,668.03,1108.94
FALSE,FALSE,FALSE,FALSE,44.55,886.64,-44.12,133.21,310.54,487.87
FALSE,TRUE,TRUE,TRUE,281.04,705.27,281.04,281.04,633.68,986.31
TRUE,TRUE,FALSE,TRUE,457.29,708.58,386.43,528.15,669.86,811.58
FALSE,FALSE,TRUE,TRUE,53.73,880,53.73,53.73,493.73,933.73
FALSE,FALSE,TRUE,TRUE,42.06,884.27,42.06,42.06,484.19,926.33
FALSE,TRUE,FALSE,FALSE,292.93,701.05,222.82,363.03,503.24,643.45
FALSE,TRUE,FALSE,FALSE,291.68,698.14,221.87,361.5,501.12,640.75
TRUE,TRUE,FALSE,TRUE,452.79,705.69,382.22,523.36,664.5,805.63
TRUE,FALSE,TRUE,FALSE,222.13,880.23,222.13,222.13,662.25,1102.36
FALSE,FALSE,FALSE,TRUE,45.58,881.74,-42.59,133.76,310.1,486.45
FALSE,FALSE,FALSE,FALSE,57.74,879.54,-30.21,145.69,321.6,497.51
FALSE,FALSE,FALSE,TRUE,50.9,884.96,-37.6,139.4,316.39,493.38
TRUE,FALSE,TRUE,FALSE,232.41,880.61,232.41,232.41,672.72,1113.02
FALSE,FALSE,FALSE,FALSE,48.81,881.85,-39.37,137,313.37,489.74
FALSE,FALSE,FALSE,FALSE,59.24,883.24,-29.08,147.57,324.21,500.86
FALSE,TRUE,TRUE,FALSE,290.09,700.11,290.09,290.09,640.15,990.2
FALSE,TRUE,FALSE,FALSE,289.15,699.94,219.16,359.14,499.13,639.12
TRUE,FALSE,FALSE,TRUE,219.95,875.11,132.44,307.47,482.49,657.51
FALSE,TRUE,TRUE,TRUE,280.67,701.02,280.67,280.67,631.18,981.69
TRUE,FALSE,FALSE,FALSE,222.37,882.6,134.11,310.63,487.15,663.67
FALSE,TRUE,FALSE,FALSE,294.28,703.69,223.91,364.65,505.39,646.13
FALSE,TRUE,TRUE,FALSE,290.73,700.95,290.73,290.73,641.21,991.68
TRUE,FALSE,FALSE,TRUE,220.73,885.64,132.17,309.3,486.43,663.55
FALSE,TRUE,FALSE,FALSE,293.4,702.16,223.18,363.61,504.05,644.48
TRUE,FALSE,TRUE,FALSE,219.18,884.05,219.18,219.18,661.2,1103.23
TRUE,TRUE,FALSE,TRUE,455.41,708.7,384.54,526.28,668.02,809.76
TRUE,FALSE,TRUE,TRUE,223.32,884.22,223.32,223.32,665.43,1107.54
TRUE,TRUE,FALSE,TRUE,456.74,706.85,386.06,527.43,668.79,810.16
TRUE,TRUE,TRUE,TRUE,458.72,707.95,458.72,458.72,812.69,1166.67
FALSE,TRUE,FALSE,TRUE,280.87,703.97,210.48,351.27,492.06,632.86
TRUE,FALSE,FALSE,TRUE,212.56,884.3,124.13,300.99,477.85,654.71
TRUE,TRUE,TRUE,FALSE,463.94,704.51,463.94,463.94,816.2,1168.46
TRUE,TRUE,TRUE,FALSE,471.12,702.73,471.12,471.12,822.48,1173.85
FALSE,TRUE,TRUE,TRUE,286.17,707.79,286.17,286.17,640.07,993.97
TRUE,FALSE,FALSE,TRUE,212.33,888.99,123.43,301.23,479.03,656.82
TRUE,FALSE,TRUE,FALSE,234,881.81,234,234,674.91,1115.81
FALSE,FALSE,TRUE,FALSE,55.43,886.1,55.43,55.43,498.49,941.54
TRUE,FALSE,TRUE,FALSE,227.85,886.42,227.85,227.85,671.06,1114.27
FALSE,TRUE,FALSE,TRUE,279.65,705.26,209.13,350.18,491.23,632.28
FALSE,TRUE,TRUE,TRUE,290.07,703.89,290.07,290.07,642.01,993.96
TRUE,TRUE,TRUE,TRUE,459.32,706.61,459.32,459.32,812.63,1165.93
FALSE,FALSE,TRUE,TRUE,30.6,883.84,30.6,30.6,472.52,914.44
FALSE,TRUE,FALSE,TRUE,283.01,700.7,212.94,353.08,493.22,633.36
TRUE,TRUE,FALSE,TRUE,453.18,705.8,382.6,523.76,664.92,806.08
FALSE,FALSE,TRUE,FALSE,53.56,881.06,53.56,53.56,494.09,934.62
TRUE,FALSE,TRUE,FALSE,230.92,889.31,230.92,230.92,675.58,1120.23
TRUE,FALSE,TRUE,FALSE,226.18,885.66,226.18,226.18,669.01,1111.84
FALSE,FALSE,FALSE,TRUE,48.17,887.74,-40.6,136.95,314.49,492.04
FALSE,TRUE,FALSE,TRUE,277.5,708.32,206.67,348.34,490,631.66
FALSE,FALSE,FALSE,FALSE,47.84,880.73,-40.23,135.91,312.06,488.21
FALSE,FALSE,TRUE,TRUE,46.66,882.66,46.66,46.66,487.99,929.32
FALSE,TRUE,FALSE,TRUE,277.94,708.59,207.08,348.79,490.51,632.23
TRUE,FALSE,FALSE,TRUE,225.26,882.1,137.05,313.47,489.88,666.3
FALSE,TRUE,TRUE,FALSE,289.85,701.39,289.85,289.85,640.55,991.25
TRUE,FALSE,FALSE,FALSE,228.16,879.07,140.25,316.07,491.88,667.7
FALSE,TRUE,TRUE,FALSE,298.1,701.53,298.1,298.1,648.86,999.62
FALSE,FALSE,TRUE,FALSE,58.5,884.96,58.5,58.5,500.98,943.46
TRUE,TRUE,FALSE,TRUE,451.95,704.23,381.53,522.37,663.22,804.06
TRUE,TRUE,FALSE,TRUE,459.84,706.38,389.2,530.48,671.75,813.03
TRUE,TRUE,FALSE,TRUE,457.66,703.16,387.34,527.97,668.61,809.24
FALSE,TRUE,FALSE,FALSE,290.45,697.93,220.65,360.24,499.82,639.41
